scenario,policy,seed,candidate_groups,useful_groups,retained_fraction,completed_steps,candidate_groups_per_completed_step,unique_tasks,duplicate_fallbacks,arithmetic_candidate_share,algebra_candidate_share,geometry_candidate_share,probability_candidate_share
fast_saturation,adaptive,25,235,200,0.851063829787234,20,11.75,172,0,0.2978723404255319,0.23829787234042554,0.20851063829787234,0.2553191489361702
fast_saturation,adaptive,26,248,200,0.8064516129032258,20,12.4,178,0,0.28225806451612906,0.28225806451612906,0.2056451612903226,0.22983870967741934
fast_saturation,adaptive,27,242,200,0.8264462809917356,20,12.1,165,0,0.26859504132231404,0.2396694214876033,0.2603305785123967,0.23140495867768596
fast_saturation,adaptive,28,240,200,0.8333333333333334,20,12.0,170,0,0.2625,0.2916666666666667,0.24166666666666667,0.20416666666666666
fast_saturation,adaptive,29,248,200,0.8064516129032258,20,12.4,178,0,0.25,0.28225806451612906,0.23387096774193547,0.23387096774193547
fast_saturation,adaptive,30,246,200,0.8130081300813008,20,12.3,179,0,0.25609756097560976,0.2601626016260163,0.2601626016260163,0.22357723577235772
fast_saturation,adaptive,31,237,200,0.8438818565400844,20,11.85,170,0,0.2320675105485232,0.270042194092827,0.22362869198312235,0.2742616033755274
fast_saturation,adaptive,32,240,200,0.8333333333333334,20,12.0,176,0,0.25416666666666665,0.23333333333333334,0.22916666666666666,0.2833333333333333
fast_saturation,adaptive,33,256,200,0.78125,20,12.8,194,0,0.2421875,0.23046875,0.25,0.27734375
fast_saturation,adaptive,34,237,200,0.8438818565400844,20,11.85,177,0,0.26582278481012656,0.20675105485232068,0.29535864978902954,0.2320675105485232
fast_saturation,adaptive,35,245,200,0.8163265306122449,20,12.25,166,0,0.2571428571428571,0.22857142857142856,0.23673469387755103,0.27755102040816326
fast_saturation,adaptive,36,246,200,0.8130081300813008,20,12.3,169,0,0.23577235772357724,0.25609756097560976,0.2764227642276423,0.23170731707317074
fast_saturation,adaptive,37,245,200,0.8163265306122449,20,12.25,167,0,0.3183673469387755,0.22857142857142856,0.23265306122448978,0.22040816326530613
fast_saturation,adaptive,38,242,200,0.8264462809917356,20,12.1,168,0,0.2396694214876033,0.24793388429752067,0.23140495867768596,0.2809917355371901
fast_saturation,adaptive,39,253,199,0.7865612648221344,19,13.31578947368421,179,0,0.20948616600790515,0.3201581027667984,0.20948616600790515,0.2608695652173913
rare_geometry,random,0,355,188,0.5295774647887324,9,39.44444444444444,355,0,0.2591549295774648,0.24507042253521127,0.24225352112676057,0.2535211267605634
rare_geometry,random,1,338,197,0.5828402366863905,17,19.88235294117647,338,0,0.25443786982248523,0.2455621301775148,0.2485207100591716,0.2514792899408284
rare_geometry,random,2,346,193,0.5578034682080925,14,24.714285714285715,346,0,0.2514450867052023,0.2543352601156069,0.24277456647398843,0.2514450867052023
rare_geometry,random,3,332,196,0.5903614457831325,17,19.529411764705884,332,0,0.25903614457831325,0.2620481927710843,0.23493975903614459,0.24397590361445784
rare_geometry,random,4,323,197,0.6099071207430341,17,19.0,323,0,0.2476780185758514,0.22910216718266255,0.25077399380804954,0.2724458204334365
rare_geometry,random,5,354,192,0.5423728813559322,13,27.23076923076923,354,0,0.23728813559322035,0.24858757062146894,0.2627118644067797,0.2514124293785311
rare_geometry,random,6,331,188,0.56797583081571,9,36.77777777777778,331,0,0.2598187311178248,0.2537764350453172,0.25075528700906347,0.23564954682779457
rare_geometry,random,7,345,194,0.5623188405797102,15,23.0,345,0,0.2289855072463768,0.263768115942029,0.24057971014492754,0.26666666666666666
rare_geometry,random,8,340,192,0.5647058823529412,14,24.285714285714285,340,0,0.24411764705882352,0.25,0.24411764705882352,0.26176470588235295
rare_geometry,random,9,334,193,0.5778443113772455,13,25.692307692307693,334,0,0.23652694610778444,0.24850299401197604,0.2634730538922156,0.25149700598802394
rare_geometry,random,10,322,192,0.5962732919254659,13,24.76923076923077,322,0,0.2577639751552795,0.2484472049689441,0.2391304347826087,0.2546583850931677
rare_geometry,random,11,342,193,0.564327485380117,14,24.428571428571427,342,0,0.24561403508771928,0.2719298245614035,0.24269005847953215,0.23976608187134502
rare_geometry,random,12,335,197,0.5880597014925373,18,18.61111111111111,335,0,0.2507462686567164,0.25970149253731345,0.2417910447761194,0.24776119402985075
rare_geometry,random,13,355,189,0.532394366197183,12,29.583333333333332,355,0,0.2563380281690141,0.24507042253521127,0.2591549295774648,0.23943661971830985
rare_geometry,random,14,342,196,0.5730994152046783,16,21.375,342,0,0.2543859649122807,0.24853801169590642,0.260233918128655,0.23684210526315788
rare_geometry,random,15,351,195,0.5555555555555556,16,21.9375,351,0,0.25925925925925924,0.23646723646723647,0.23931623931623933,0.26495726495726496
rare_geometry,random,16,349,189,0.5415472779369628,11,31.727272727272727,349,0,0.2607449856733524,0.24641833810888253,0.25501432664756446,0.23782234957020057
rare_geometry,random,17,353,193,0.546742209631728,13,27.153846153846153,353,0,0.254957507082153,0.24929178470254956,0.24929178470254956,0.24645892351274787
rare_geometry,random,18,335,194,0.5791044776119403,14,23.928571428571427,335,0,0.2626865671641791,0.2298507462686567,0.24477611940298508,0.2626865671641791
rare_geometry,random,19,339,194,0.5722713864306784,15,22.6,339,0,0.25073746312684364,0.2536873156342183,0.23303834808259588,0.26253687315634217
rare_geometry,random,20,346,190,0.5491329479768786,11,31.454545454545453,346,0,0.24277456647398843,0.2398843930635838,0.26011560693641617,0.25722543352601157
rare_geometry,random,21,330,192,0.5818181818181818,12,27.5,330,0,0.23939393939393938,0.2606060606060606,0.23636363636363636,0.2636363636363636
rare_geometry,random,22,359,188,0.5236768802228412,10,35.9,359,0,0.24233983286908078,0.25348189415041783,0.2562674094707521,0.2479108635097493
rare_geometry,random,23,347,193,0.5561959654178674,13,26.692307692307693,347,0,0.2507204610951009,0.25360230547550433,0.2478386167146974,0.2478386167146974
rare_geometry,random,24,335,190,0.5671641791044776,13,25.76923076923077,335,0,0.24776119402985075,0.2507462686567164,0.2626865671641791,0.23880597014925373
rare_geometry,random,25,355,193,0.543661971830986,13,27.307692307692307,355,0,0.2507042253521127,0.2563380281690141,0.24788732394366197,0.24507042253521127
rare_geometry,random,26,350,194,0.5542857142857143,15,23.333333333333332,350,0,0.2542857142857143,0.26,0.25142857142857145,0.2342857142857143
rare_geometry,random,27,352,193,0.5482954545454546,13,27.076923076923077,352,0,0.2528409090909091,0.2471590909090909,0.2528409090909091,0.2471590909090909
rare_geometry,random,28,352,193,0.5482954545454546,14,25.142857142857142,352,0,0.2471590909090909,0.2528409090909091,0.2585227272727273,0.24147727272727273
rare_geometry,random,29,344,194,0.563953488372093,14,24.571428571428573,344,0,0.26453488372093026,0.25,0.23255813953488372,0.25290697674418605
rare_geometry,random,30,358,194,0.5418994413407822,14,25.571428571428573,358,0,0.24581005586592178,0.2541899441340782,0.24860335195530725,0.25139664804469275
rare_geometry,random,31,340,191,0.5617647058823529,14,24.285714285714285,340,0,0.2411764705882353,0.25882352941176473,0.25588235294117645,0.24411764705882352
rare_geometry,random,32,347,194,0.5590778097982709,14,24.785714285714285,347,0,0.23631123919308358,0.2507204610951009,0.2420749279538905,0.27089337175792505
rare_geometry,random,33,356,192,0.5393258426966292,14,25.428571428571427,356,0,0.25842696629213485,0.24719101123595505,0.24719101123595505,0.24719101123595505
rare_geometry,random,34,339,194,0.5722713864306784,15,22.6,339,0,0.24778761061946902,0.23303834808259588,0.2536873156342183,0.26548672566371684
rare_geometry,random,35,345,188,0.5449275362318841,10,34.5,345,0,0.24057971014492754,0.25217391304347825,0.25217391304347825,0.25507246376811593
